n,k,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,trial,seed
4,3,0.03,0.04614703762490946,0.019906599509773047,0.09266701328742168,0.43137329142505504,3,1.921305708452794,11,20260602
4,3,0.01,0.015665336206890437,0.006464505127604025,0.05164941706052929,0.41266303143628646,3,1.9406109865403247,11,20260602
4,3,0.003,0.004729314846918846,0.0019194135091386078,0.02791061675230074,0.4058544569916101,3,1.947425508654353,11,20260602
4,3,0.1,0.15670289092158327,0.024216987676822583,0.061176075967418794,0.1545407843748152,3,2.038348094178412,12,20260602
4,3,0.03,0.05219027442910988,0.009142831820889777,0.04002081613978713,0.1751826738008151,3,2.0809441211834376,12,20260602
4,3,0.01,0.017890035014716175,0.002993155374348556,0.022378123500870588,0.16730852521453504,3,2.093740294725618,12,20260602
4,3,0.003,0.005418804575941161,0.0005898701506344442,0.008013175888322429,0.10885614019988772,3,2.098279971026362,12,20260602
4,3,0.1,0.14728806759532684,0.04199692276204596,0.10942931669337883,0.28513458997528757,3,1.930748081672968,13,20260602
4,3,0.03,0.046333595905473764,0.013947798533338319,0.06479741226243428,0.30102991707774085,3,2.0208245520479196,13,20260602
4,3,0.01,0.015649024885336538,0.003756306520036216,0.030027376090720218,0.24003454193212725,3,2.047593086200932,13,20260602
4,3,0.003,0.004716179221869798,0.0012842291156569502,0.018700247805030337,0.2723028653579876,3,2.057070080932342,13,20260602
4,3,0.1,0.1610721852491195,0.0521557046707655,0.12995456567642455,0.32380329719932577,3,2.4555015553941497,14,20260602
4,3,0.03,0.0514251458214577,0.014925715079356482,0.06581840915291351,0.290241570362812,3,2.5794633027256513,14,20260602
4,3,0.01,0.017437285773507002,0.005021963451352146,0.03803068125628756,0.2880014422303136,3,2.616415741575116,14,20260602
4,3,0.003,0.005262220634519241,0.0014211900867506166,0.019591497940930357,0.27007421114725977,3,2.629522750387296,14,20260602
4,3,0.1,0.15879003232150646,0.041125242314585794,0.10320407633771653,0.2589913341116929,3,1.8274640981868733,15,20260602
4,3,0.03,0.05373432039603138,0.011625547702963958,0.0501519174835778,0.2163523725113043,3,1.9068228863390244,15,20260602
4,3,0.01,0.018492136389113265,0.0040219698587333885,0.02957639703809517,0.2174962251036182,3,1.9300706484542078,15,20260602
4,3,0.003,0.0056086140237298415,0.0008343003834729192,0.011140243058993181,0.14875339610517405,3,1.9382597770663414,15,20260602
