vector_rank,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,positivity_margin_phi1,trial,seed
1,0.1,0.1270424692311858,6.598259696979811e-32,1.8512068199247319e-31,5.193743270978631e-31,2,1.5167628318630322,0.09368048759213443,0,20260605
1,0.03,0.04075579951367694,2.7744769514965254e-32,1.3743153990443997e-31,6.807563548263749e-31,2,1.4961012454659395,0.09368048759213443,0,20260605
1,0.01,0.013837427567003818,2.773408278693756e-32,2.3576868831316804e-31,2.004280250259171e-30,2,1.4922004262007185,0.09368048759213443,0,20260605
1,0.003,0.0041777177165838175,2.7733430813851345e-32,4.2907583087898255e-31,6.638416641641692e-30,2,1.4910518204306322,0.09368048759213443,0,20260605
1,0.001,0.00139509576240494,2.773339347490762e-32,7.425077715179346e-31,1.9879204153770293e-29,2,1.4907441791197489,0.09368048759213443,0,20260605
1,0.1,0.13051792152597513,4.932389995710385e-32,1.3652819030724511e-31,3.7790902107866937e-31,2,1.871685543402513,0.06461566317624712,1,20260605
1,0.03,0.0417001394368353,2.773395821448364e-32,1.358135506288932e-31,6.650807069001116e-31,2,1.8594135821380942,0.06461566317624712,1,20260605
1,0.01,0.014142600793001978,2.773348089438952e-32,2.332060113407958e-31,1.960988738939203e-30,2,1.85778464611266,0.06461566317624712,1,20260605
1,0.003,0.004268254113187528,2.773339183727512e-32,4.245001557889384e-31,6.497596230643318e-30,2,1.857436668433324,0.06461566317624712,1,20260605
1,0.001,0.001425177629426382,2.773339180064798e-32,7.34629711033675e-31,1.9459603650816747e-29,2,1.857358611422632,0.06461566317624712,1,20260605
1,0.1,0.1269817557867859,3.2589133968046965e-32,9.145388425144574e-32,2.5664422236188903e-31,2,1.8126533517697818,0.027560464125706563,2,20260605
1,0.03,0.04025560904524347,1.5100607346393196e-31,7.526294605728662e-31,3.751180942119532e-30,2,1.8077542115803482,0.027560464125706563,2,20260605
1,0.01,0.013625281554040448,2.773477833023281e-32,2.376030200652679e-31,2.0355379975255135e-30,2,1.8076795628451885,0.027560464125706563,2,20260605
1,0.003,0.0041093195946413285,6.240039192755821e-32,9.734246909064283e-31,1.518509098414495e-29,2,1.807766094446774,0.027560464125706563,2,20260605
1,0.001,0.0013718443288062284,2.7733396067767477e-32,7.487737966477044e-31,2.0216139313635484e-29,2,1.8078009118594365,0.027560464125706563,2,20260605
1,0.1,0.1409016773489942,2.7742923876560317e-32,7.390845923248307e-32,1.9689562536466395e-31,2,1.4481073334809649,0.1256810931706418,3,20260605
1,0.03,0.04596448876771182,2.773764960329845e-32,1.293774063627086e-31,6.034582423721639e-31,2,1.4410145142453146,0.1256810931706418,3,20260605
1,0.01,0.015675515405599468,7.70374163444584e-32,6.153054963557332e-31,4.9145061167774926e-30,2,1.4407638209849667,0.1256810931706418,3,20260605
1,0.003,0.004739887949561624,6.240015950336631e-32,9.063619440049113e-31,1.31649018220225e-29,2,1.440839116076661,0.1256810931706418,3,20260605
1,0.001,0.0015835105591896353,2.773339752339958e-32,6.969355129297457e-31,1.7513869650223363e-29,2,1.4408755043981405,0.1256810931706418,3,20260605
1,0.1,0.12803721958941344,7.704245413348069e-32,2.153089044692413e-31,6.017192061850336e-31,2,1.6201797374543485,0.04013054764794466,4,20260605
1,0.03,0.04110654832033642,7.703731470451649e-32,3.7996678189860217e-31,1.874088627052256e-30,2,1.6010815600039885,0.04013054764794466,4,20260605
1,0.01,0.013959120348848563,2.773345795897732e-32,2.3473345838894373e-31,1.9867625800120673e-30,2,1.5982795186589756,0.04013054764794466,4,20260605
1,0.003,0.00421472399758681,2.773339724711267e-32,4.271874667466369e-31,6.580121797534488e-30,2,1.5976164837759772,0.04013054764794466,4,20260605
1,0.001,0.0014074782969546046,2.773339184909043e-32,7.392343422500203e-31,1.9704312250567455e-29,2,1.5974577415878763,0.04013054764794466,4,20260605
1,0.1,0.10401098466770775,1.5601586183029301e-32,4.8375910326543213e-32,1.4999940855163463e-31,2,1.6074064526801748,0.07104349902237417,5,20260605
