family,n,rank,seed,s,power,amp,delta,tau,rho_mult,kappa_mult,vertices,W,max_distance,ratio,idempotence_linf_l1,row_sum_linf
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,0.5,0.05,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,0.5,0.1,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,0.5,0.25,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,0.5,0.5,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,1,0.05,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,1,0.1,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,1,0.25,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,1,0.5,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,2,0.05,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,2,0.1,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,2,0.25,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,2,0.5,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,4,0.05,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,4,0.1,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,4,0.25,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,4,0.5,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,8,0.05,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,8,0.1,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,8,0.25,4,4,0,0,3.5187781508e-16,2.22044604925e-16
hume_product,9,,,0.02,2,,0.00080032,0.0282899275361,8,0.5,4,4,0,0,3.5187781508e-16,2.22044604925e-16
