a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond
0.1,0.061907770014071724,0.07116107045809945,0.2860025413473364,1.1494691287042715,2,2.356839197525054
0.03,0.019073062762204798,0.02244768031045589,0.162540372148317,1.1769310776315507,2,2.4137212626632403
0.01,0.006405376326257194,0.007575398439044012,0.09465273227378568,1.1826625093034133,2,2.4295633587233127
0.003,0.0019266202154570144,0.0022819891949050226,0.05198948642193373,1.1844520142563286,2,2.4350958497215447
0.001,0.0006426836258741751,0.000761543548839042,0.030039736987592783,1.184943132483256,2,2.436676506421589
0.0003,0.000192855160938001,0.0002285539268942316,0.01645784829688521,1.185106614635566,2,2.4372297723263845
0.0001,6.428982251992239e-05,7.619373422506243e-05,0.009502724647899358,1.1851601270395669,2,2.43738785297828
