a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond
0.1,0.06000000000000014,0.07456894773390138,0.30442645434054355,1.24281579556502,2,3.3555996678448685
0.03,0.019400000000000042,0.0234203980283229,0.16814865842509197,1.207237011769219,2,3.3879594666865818
0.01,0.006600000000000024,0.007873186650767819,0.09691222836015881,1.19290706829815,2,3.3952643902491246
0.003,0.0019940000000000257,0.002367954159083615,0.05302866742117943,1.1875396986377054,2,3.397640737371626
0.001,0.0006660000000000277,0.0007898581831822418,0.030606382912472255,1.1859732480213347,2,3.398303183253004
0.0003,0.00019994000000000473,0.00023701320171943353,0.01676187868705694,1.1854216350876658,2,3.398533328982175
0.0001,6.665999999999808e-05,7.900970558136554e-05,0.00967715704004288,1.1852641101315304,2,3.3985989226759146
