a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond
0.1,0.043815763894927834,0.04555678112355078,0.21763955887276826,1.0397349509367904,2,2.049810376514006
0.03,0.013925236306970951,0.014806880678572902,0.12547646926719455,1.0633127045147954,2,2.1487877175100247
0.01,0.00471607944884677,0.005034683121786943,0.07331310025397984,1.0675568926257342,2,2.177880689109927
0.003,0.001422628906038992,0.001520495877072087,0.040312472199298274,1.0687930426674548,2,2.188140588067046
0.001,0.0004749529754781779,0.0005077826561877555,0.023299819501094894,1.0691219602878055,2,2.1910789612493216
0.0003,0.0001425639433571946,0.0001524344273469707,0.012766687083920574,1.0692354865987788,2,2.1921081089048844
0.0001,4.7528747853748136e-05,5.0820951440681115e-05,0.007371648266045589,1.0692676271856245,2,2.1924022189385344
