family,n,rank,target_delta,delta,seed,score,empty_w_count,rho_mult,kappa_mult,vertices,W,max_distance,ratio,idempotence_linf_l1,row_sum_linf,BA_error_linf
direct_anchor_barycentric,5,3,0.01,0.009844086730558406,2026261730,0.19843474222583696,0,1.0,0.1,5,3,0.019688173461116995,0.19843474222583696,0.0,2.220446049250313e-16,0.0
direct_anchor_barycentric,6,3,0.01,0.009818563885571837,2026263734,0.1981773335734618,0,1.0,0.1,4,3,0.019637127771143622,0.1981773335734618,0.0,1.1102230246251565e-16,0.0
direct_anchor_barycentric,6,3,0.01,0.009756544959345108,2026263741,0.19755044884125253,0,1.0,0.1,5,3,0.01951308991869019,0.19755044884125253,0.0,1.1102230246251565e-16,0.0
direct_anchor_barycentric,8,4,0.01,0.009697100154171464,2026266723,0.19694771036162417,0,1.0,0.1,8,4,0.019394200308343015,0.19694771036162417,0.0,1.1102230246251565e-16,0.0
direct_anchor_barycentric,8,3,0.01,0.009592410509828266,2026265732,0.1958817041974896,0,1.0,0.1,7,4,0.01918482101965647,0.1958817041974896,0.0,2.220446049250313e-16,0.0
direct_anchor_barycentric,5,3,0.01,0.009547837305827284,2026261727,0.19542607099184287,0,1.0,0.1,5,3,0.019095674611654484,0.19542607099184287,0.0,1.1102230246251565e-16,0.0
direct_anchor_barycentric,8,4,0.01,0.009486153368431676,2026266728,0.19479377165024134,0,1.0,0.1,6,4,0.018972306736863266,0.19479377165024134,0.0,1.1102230246251565e-16,0.0
direct_anchor_barycentric,6,3,0.01,0.009396342320488063,2026263735,0.19386946454238993,0,1.0,0.1,5,3,0.01879268464097631,0.19386946454238993,0.0,2.220446049250313e-16,0.0
direct_anchor_barycentric,6,3,0.01,0.00939402749300597,2026263726,0.1938455828024564,0,1.0,0.05,5,3,0.018788054986011965,0.1938455828024564,0.0,1.1102230246251565e-16,0.0
direct_anchor_barycentric,8,3,0.01,0.009351193668636116,2026265735,0.19340314029132014,0,1.0,0.1,5,3,0.01870238733727213,0.19340314029132014,0.0,2.220446049250313e-16,0.0
direct_anchor_barycentric,8,4,0.01,0.009307364340901339,2026266741,0.1929493647660064,0,1.0,0.1,7,4,0.018614728681802688,0.1929493647660064,0.0,0.0,0.0
direct_anchor_barycentric,8,4,0.01,0.009273015979892,2026266730,0.1925930007024338,0,1.0,0.1,7,4,0.018546031959783913,0.1925930007024338,0.0,2.220446049250313e-16,0.0
direct_anchor_barycentric,7,3,0.01,0.009256355813636038,2026264743,0.19241991387209367,0,4.0,0.1,5,4,0.018512711627272024,0.19241991387209367,0.0,1.1102230246251565e-16,0.0
direct_anchor_barycentric,8,3,0.01,0.009209221975499754,2026265743,0.19192938259161657,0,1.0,0.1,6,4,0.018418443950999536,0.19192938259161657,0.0,1.1102230246251565e-16,0.0
direct_anchor_barycentric,6,3,0.01,0.009184517603899293,2026263723,0.19167177782761216,0,1.0,0.1,5,3,0.018369035207798673,0.19167177782761216,0.0,0.0,0.0
direct_anchor_barycentric,8,3,0.01,0.009171840451296797,2026265728,0.19153945234647543,0,1.0,0.1,6,3,0.01834368090259373,0.19153945234647543,0.0,2.220446049250313e-16,0.0
